Synset ID,POS,Arabic Lemmas,Definition,Examples,Linguist Rating (1-5),Comments
awn4-04129779-n,n,كيس عطر، وسادة معطرة,كيس ناعم صغير يحتوي على مسحوق معطر؛ يستخدم لتعطير الأشياء في الدرج أو الصندوق,,,
awn4-07855148-n,n,صلصة البابريكا، صلصة مجرية,صلصة فيلوتيه مع بصل مفروم مقلي وبابريكا وكريمة,,,
awn4-13416580-n,n,ورقة عشرة دولارات,ورقة نقدية أمريكية بقيمة 10 دولارات,,,
awn4-09365635-n,n,جبل لوغان,"قمة جبلية في سلسلة جبال سانت إلياس في جنوب غرب إقليم يوكون في كندا (ارتفاعها 19,850 قدم)",,,
awn4-07979944-n,n,كدس قش صغير,كومة صغيرة مخروطية الشكل من القش تُترك في الحقل حتى تجف بما يكفي لنقلها,,,
awn4-03640743-n,n,صفيحة رقيقة,لوحة رقيقة,,,
awn4-02126525-v,v,ظَمِئَ، عَطِشَ,شعر بالحاجة للشرب,,,
awn4-02730580-v,v,هاج (جنسياً),كان في حالة من الإثارة الجنسية؛ لذكور الثدييات,,,
awn4-04341243-n,n,فستان بلا حمالات,رداء نسائي يكشف الكتفين وليس له حمالات كتف,,,
awn4-10439776-n,n,مستعطف، ملتمس,شخص يطلب شيئاً بتواضع,مستعطف لرضاها,,
awn4-13516122-n,n,تحلل مائي,تفاعل كيميائي يتفاعل فيه الماء مع مركب لإنتاج مركبات أخرى؛ ويتضمن انقسام الرابطة وإضافة كاتيون الهيدروجين وأنيون الهيدروكسيد من الماء,,,
awn4-14110995-n,n,صرع كبير، نوبة توترية رمعية,صرع تتضمن نوباته فقدان الوعي وتشنجات توترية في العضلات يتبعها ارتعاش عام,,,
awn4-07999593-n,n,الأساطير الرومانية,أساطير الرومان القدماء,,,
awn4-00148633-r,r,يداً بيد,ممسكين بأيدي بعضهم البعض,مشيا يداً بيد,,
awn4-12073256-n,n,سيلوجين,أي من بساتين الفاكهة المختلفة من جنس سيلوجين ذات: عناقيد من الزهور البيضاء الثلجية العطرة؛ زهور وحيدة وردية سلمونية؛ عناقيد تشبه السلسلة من زهور التوباز والبني الشوكولاتة؛ سنابل من زهور بيضاء رقيقة برائحة التوابل؛ زهور خضراء زمردية معلمة بالأزرق المسود,,,
awn4-00260674-r,r,عِنْد الاحْتِضَار، فِي اللَّحَظَات الأَخِيرَة,عند نقطة الموت,,,
awn4-13577354-n,n,انتكاسة، هبوط,انخفاض مؤقت في الصحة أو القيمة,,,
awn4-06427565-n,n,كراسة خط,كتاب يحتوي على نماذج لحسن الخط؛ يستخدم في تعليم الخط,,,
awn4-04169660-n,n,قاعدة، مقر,جزء من آلة يدعم أو يوجه جزءاً آخر,,,
awn4-11901895-n,n,حرف,الجرجير المر,,,
awn4-04758019-n,n,اخْتِلَاف، عَدَم تَمَاثُل,عدم التشابه المثبت بغياب الشبه,,,
awn4-05574850-n,n,إبهام,الإصبع الداخلي السميك والقصير للطرف الأمامي,,,
awn4-11882769-n,n,سبرياغا، مخلب القطة,عناقيد وردية من الزهور المكتظة بكثافة على سيقان منبسطة تشبه وسائد أقدام القطط المقلوبة؛ تنمو في الغابات الصنوبرية في غرب أمريكا الشمالية,,,
awn4-04792423-n,n,اتِّسَاق,(منطق) سمة لنظام منطقي مكون بحيث لا تتناقض أي من القضايا المستنبطة من البديهيات مع بعضها البعض,,,
awn4-10031556-n,n,حاكم مطلق، ديكتاتور,حاكم غير مقيد بالقانون,,,
