Synset ID,ILI,POS,Lemmas,Definition,Examples,Hypernyms,Hyponyms,Other Relations
awn4-00024272-v,i21885,v,أَحْيَا | أَنْعَشَ | نَشَّطَ,أعطى حياة جديدة أو طاقة لـ,حساء ساخن سينعشني | هذا سيجدد روحي | هذا العلاج أصلح صحتي,"hypernym: [حَفَّزَ, نَبَّهَ, نَشَّطَ] ""تسبب في أن يكون يقظًا وحيويًا""",,"similar: [أَفَاقَ, اسْتَعَادَ وَعْيَه, صَحَا] ""عاد إلى الوعي"""
awn4-00072366-n,i35784,n,خطأ مزدوج,(تنس) خطآن متتاليان في الإرسال مما يؤدي إلى خسارة النقطة,,"hypernym: [خطأ] ""(رياضة) إرسال غير قانوني (مثلاً، يهبط خارج المنطقة المحددة)""",,"domain_topic: [تنس, كرة المضرب] ""لعبة تُلعب بمضارب من قبل لاعبين أو أربعة يضربون كرة ذهاباً وإياباً فوق شبكة تقسم"""
awn4-00094281-r,i18722,r,بؤرياً,بطريقة بؤرية,تم تسلل الطبقة تحت المخاطية بؤرياً,,,
awn4-00108459-a,i570,a,بِنَائِيّ,يتميز بـ أو يعزز الأيض البنائي,يتناول بعض الرياضيين المنشطات البنائية لزيادة حجم العضلات مؤقتاً,,,
awn4-00148633-r,i19131,r,يداً بيد,ممسكين بأيدي بعضهم البعض,مشيا يداً بيد,,,
awn4-00202722-a,i1079,a,بِلَا ظَهْر | مَكْشُوف الظَّهْر,يفتقر إلى ظهر,البراز (الكرسي) هو مقعد بلا ظهر وبلا ذراعين,,,
awn4-00260674-r,i19947,r,عِنْد الاحْتِضَار | فِي اللَّحَظَات الأَخِيرَة,عند نقطة الموت,,,,
awn4-00317632-n,i37074,n,جسر برلين الجوي,جسر جوي في عام 1948 زود مواطني غرب برلين بالطعام والوقود عندما أغلق الروس الوصول البري إلى برلين,,"instance_hypernym: [جسر جوي, نقل جوي] ""نقل الأشخاص أو البضائع عن طريق الجو (خاصة عندما تكون وسائل الوصول الأخرى غير متا""",,
awn4-00416323-v,i23799,v,استقر | هدأ,أصبح مستقراً أو راسخاً في مكان إقامته أو نمط حياته,استقر أخيراً,"hypernym: [استقر] ""أصبح مستقراً أو أكثر استقراراً""","hyponym: [استقر, جثم] ""استقر أو بقي، كما لو كان على مجثم""",
awn4-00436657-r,i21132,r,بتطفل | بفضول,بطريقة فضولية متطفلة,سألت مستأجرتها المحتملة بتطفل: هل لديك صديق؟,,,
awn4-00509752-r,i21692,r,بلا نغم | بنشاز,بأسلوب خالي من النغم,صفر بلا نغم,,,
awn4-00618080-a,i3415,a,غير مقنع | واهٍ,ليس مقنعاً,حجة واهية | غير مقنع مثل ابتسامة مصطنعة,,,"also: [غير معقول, لا يصدق, مذهل] ""يتجاوز التصديق أو الفهم"""
